Make,Model,Year,name
Buick,Cascada,2016,Buick_Cascada_2016_33_20_200_16_4_72_56_184_20_FWD_4_2_Convertible_xDa.jpg
Cadillac,ATS,2015,Cadillac_ATS_2015_44_18_270_20_4_72_55_183_nan_AWD_4_2_2dr_LUX.jpg
Cadillac,ATS,2015,Cadillac_ATS_2015_44_18_270_20_4_72_55_183_nan_AWD_4_2_2dr_mJK.jpg
Buick,Regal,2014,Buick_Regal_2014_39_19_250_20_nan_73_58_190_19_AWD_5_4_4dr_Ewy.jpg
BMW,Z4,2019,BMW_Z4_2019_49_18_250_20_4_73_51_170_25_RWD_2_2_Convertible_nhJ.jpg
BMW,Z4,2009,BMW_Z4_2009_45_17_250_30_6_70_50_166_19_RWD_2_2_Convertible_mHy.jpg
BMW,Z4,2019,BMW_Z4_2019_49_18_250_20_4_73_51_170_25_RWD_2_2_Convertible_VDl.jpg
Cadillac,ATS,2014,Cadillac_ATS_2014_41_17_270_20_4_71_55_182_nan_AWD_5_4_4dr_FnR.jpg
BMW,X2,2020,BMW_X2_2020_46_19_300_20_4_71_60_172_23_AWD_5_4_SUV_bKM.jpg
Buick,Cascada,2017,Buick_Cascada_2017_33_20_200_16_4_72_56_184_20_FWD_4_2_Convertible_GFX.jpg
Cadillac,ATS,2013,Cadillac_ATS_2013_36_17_270_20_4_71_55_182_20_AWD_5_4_4dr_Oou.jpg
Cadillac,Escalade,2020,Cadillac_Escalade_2020_75_20_420_62_8_80_74_nan_14_RWD_7_4_SUV_fFa.jpg
BMW,Z4,2014,BMW_Z4_2014_48_17_240_20_4_70_50_166_22_RWD_2_2_Convertible_kJD.jpg
Buick,Regal,2011,Buick_Regal_2011_26_18_180_24_4_73_58_190_19_FWD_5_4_4dr_taK.jpg
Cadillac,Escalade,2019,Cadillac_Escalade_2019_75_20_420_62_8_80_74_nan_14_RWD_7_4_SUV_GbT.jpg
Buick,Regal,2011,Buick_Regal_2011_26_18_180_24_4_73_58_190_19_FWD_5_4_4dr_sKI.jpg
BMW,Z4,2010,BMW_Z4_2010_46_17_250_30_6_70_50_166_18_RWD_2_2_Convertible_OBF.jpg
